Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
1039,x u i ⁵⁵,233,x u i ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1037,s ə ʔ ⁵⁵,1036,s ə ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1043,k j ṵː ʔ ⁵⁵,232,k j ṵː - ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1044,f a i ⁵⁵,233,f a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1046,ts u i ³⁵,1037,ts u i ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
5416,tɕʰ ɑ u ʔ ⁴,232,tɕʰ - ɑ u ʔ ⁴,,expert,Hill2017,LingPy:SCA,,0:1
1040,k j a̰ u ʔ ⁵⁵,232,k j a̰ u ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7115,kʰ r ʊ k,232,kʰ r ʊ - k -,,expert,Hill2017,LingPy:SCA,,0:1
6144,n ɔ ʔ ⁵⁵,35,n ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6202,n ɔ ʔ ⁵⁵,35,n ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6239,s ɔ ⁵⁵,36,s ɔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6307,n o ʔ ²¹,35,n o ʔ ²¹,,expert,Hill2017,LingPy:SCA,,0:1
6474,n ɔː ʔ ⁵⁵,35,n ɔː ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6536,n ɔ ʔ ⁵⁵,35,n ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6604,n a ʔ ⁵⁵,35,n a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1152,ʃ i t ⁵⁵,247,- ʃ i t ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1153,ʃ ɛ ʔ ⁵⁵,247,- ʃ ɛ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1156,ʃ ɛ̰ t ⁵⁵,247,- ʃ ɛ̰ t ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1157,ʃ ɛ ʔ ⁵⁵,247,- ʃ ɛ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1158,ç ɛ ʈ ⁵⁵,247,- ç ɛ ʈ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
5575,ɕ i ʔ ⁴,247,- ɕ i ʔ ⁴,,expert,Hill2017,LingPy:SCA,,0:1
1150,ɕ e t ⁵⁵,247,- ɕ e t ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7117,r̥ j a t,247,r̥ j a t -,,expert,Hill2017,LingPy:SCA,,0:1
1241,v e ³¹,266,v e - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
5272,w e ⁵⁵,266,w e - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1244,v ɛ ³¹,266,v ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1247,v ɛː ³³,266,v ɛː - ³³,,expert,Hill2017,LingPy:SCA,,0:1
1248,v a ³⁵,266,v a - ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
1249,v ɛ ³¹,266,v ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
7119,w i j ⁵⁵,266,w i j ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1243,v e ²¹,266,v e - ²¹,,expert,Hill2017,LingPy:SCA,,0:1
7121,tʰ a ŋ ⁵⁵,80,tʰ a - ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6182,tʰ ɔ̃ ∼ ³⁵,80,tʰ ɔ̃ - ∼ ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
6223,tʰ a ŋ ⁵⁵,80,tʰ a - ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6281,tʰ ɔ ŋ ³¹,80,tʰ ɔ - ŋ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6346,tʰ ɔ̃ ∼ ³⁵,80,tʰ ɔ̃ - ∼ ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
6428,tʰ u a ŋ ³¹,80,tʰ u a ŋ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6501,tʰ ĩ ∼ ⁵⁵,80,tʰ ĩ - ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6576,tʰ a ŋ ²¹,80,tʰ a - ŋ ²¹,,expert,Hill2017,LingPy:SCA,,0:1
1421,ŋ ɔ ³¹,290,ŋ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1424,ŋ a ³¹,290,ŋ a ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1428,ŋ ɔ ⁵⁵,290,ŋ ɔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1423,ŋ o ²¹,290,ŋ o ²¹,,expert,Hill2017,LingPy:SCA,,0:1
