ID,Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
1177,2275,a ³¹ + x ʐ o ʔ ⁵⁵,p415,a ³¹ - + x ʐ o ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1178,2266,a ³¹ + x ʐ o ʔ ⁵⁵,p1099,a ³¹ - + x ʐ o ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1179,2266,a ³¹ + x ʐ o ʔ ⁵⁵,p415,a ³¹ - + x ʐ o ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1180,2269,s a k ⁵⁵ + f a ʔ ⁵⁵,p1098,s a k ⁵⁵ + f a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1181,2269,s a k ⁵⁵ + f a ʔ ⁵⁵,p1101,s a k ⁵⁵ + f a ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1182,2272,a ³¹ + f ṵ ʔ ⁵⁵,p1099,a ³¹ + f ṵ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1183,2272,a ³¹ + f ṵ ʔ ⁵⁵,p1101,a ³¹ + f ṵ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1184,2273,pʰ ɔ ʔ ⁵⁵,p1100,pʰ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1185,7312,a + r o k,p1099,- - a + r - o k -,,expert,Hill2017,LingPy:SCA,,1
1186,7312,a + r o k,p415,- - a + r - o k -,,expert,Hill2017,LingPy:SCA,,2
1187,8067,ɑ ⁵³ + j w ɛ ʔ ⁴,p1099,ɑ ⁵³ - + j w ɛ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
1188,8067,ɑ ⁵³ + j w ɛ ʔ ⁴,p415,ɑ ⁵³ - + j w ɛ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,2
1189,6189,n̥ʲ o t ⁵⁵ + t u ŋ ⁵⁵,p480,n̥ʲ o t ⁵⁵ + t u ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1190,6189,n̥ʲ o t ⁵⁵ + t u ŋ ⁵⁵,p1305,n̥ʲ o t ⁵⁵ + t u ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1191,6266,n̥ o ʔ ⁴ + kʰ ɑ̃ ∼ ⁵⁵,p480,n̥ o ʔ ⁴ + kʰ ɑ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1192,6266,n̥ o ʔ ⁴ + kʰ ɑ̃ ∼ ⁵⁵,p1009,n̥ o ʔ ⁴ + kʰ ɑ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1193,6341,n ṵ t ⁵⁵ + k ṵ ʔ ⁵⁵,p480,n ṵ - t ⁵⁵ + k ṵ - ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1194,6341,n ṵ t ⁵⁵ + k ṵ ʔ ⁵⁵,p937,n ṵ - t ⁵⁵ + k ṵ - ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1195,6519,n u a̰ t ⁵⁵ + k ṵ k ⁵⁵,p480,n u a̰ t ⁵⁵ + k ṵ - k ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1196,6519,n u a̰ t ⁵⁵ + k ṵ k ⁵⁵,p937,n u a̰ t ⁵⁵ + k ṵ - k ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1197,6367,n a̰ t ⁵⁵ + k a̰ u k ⁵⁵,p480,n a̰ - t ⁵⁵ + k a̰ u k ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1198,6367,n a̰ t ⁵⁵ + k a̰ u k ⁵⁵,p937,n a̰ - t ⁵⁵ + k a̰ u k ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1199,6577,n̥ u t ⁵⁵ + ʐ ɿ ⁵⁵,p480,n̥ u t ⁵⁵ + ʐ ɿ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1200,6577,n̥ u t ⁵⁵ + ʐ ɿ ⁵⁵,p936,n̥ u t ⁵⁵ + ʐ ɿ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1201,6636,n ɔ̰ t ⁵⁵ + k a̰ u ʔ ⁵⁵,p480,n ɔ̰ - t ⁵⁵ + k a̰ u ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1202,6636,n ɔ̰ t ⁵⁵ + k a̰ u ʔ ⁵⁵,p937,n ɔ̰ - t ⁵⁵ + k a̰ u ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1203,7314,n̥ u t,p480,n̥ u t,,expert,Hill2017,LingPy:SCA,,1
1204,2420,a ³¹ + ʂ ə ŋ ³¹,p1106,a ³¹ - + ʂ ə ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
1205,2420,a ³¹ + ʂ ə ŋ ³¹,p442,a ³¹ - + ʂ ə ŋ ³¹,,expert,Hill2017,LingPy:SCA,,2
1206,2423,s i ŋ ²¹,p442,s i ŋ ²¹,,expert,Hill2017,LingPy:SCA,,1
1207,2426,s a ŋ ³⁵,p442,s a ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,1
1208,2431,s ə ŋ ⁵⁵,p442,s ə ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1209,2434,s a ŋ ³⁵,p442,s a ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,1
1210,2436,a ³¹ + ʂ ɯ ŋ ³¹,p1106,a ³¹ - + ʂ ɯ ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
1211,2436,a ³¹ + ʂ ɯ ŋ ³¹,p442,a ³¹ - + ʂ ɯ ŋ ³¹,,expert,Hill2017,LingPy:SCA,,2
1212,5610,ɑ ⁵³ + tθ ɛ ⁵⁵,p1106,ɑ ⁵³ - + tθ ɛ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1213,5610,ɑ ⁵³ + tθ ɛ ⁵⁵,p442,ɑ ⁵³ - + tθ ɛ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1214,7316,a + s a nʲ ⁵⁵,p1106,- - a + s a nʲ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1215,7316,a + s a nʲ ⁵⁵,p442,- - a + s a nʲ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1216,2468,ʂ a n ³¹,p1107,ʂ a n ³¹,,expert,Hill2017,LingPy:SCA,,1
1217,2473,ʃ ɔ n ³⁵,p1107,ʃ ɔ n ³⁵,,expert,Hill2017,LingPy:SCA,,1
1218,2476,ʃ i ŋ ³⁵,p1107,ʃ i ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,1
1219,2478,ʂ a n ³¹,p1107,ʂ a n ³¹,,expert,Hill2017,LingPy:SCA,,1
1220,2471,ʃ i n ²¹,p1107,ʃ i n ²¹,,expert,Hill2017,LingPy:SCA,,1
1221,2475,ʃ ɛ̰ n ⁵⁵,p1107,ʃ ɛ̰ n ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1222,7318,s a n ⁵⁵,p1107,s a n ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1223,5280,tθ ɑ̃ ∼ ⁵⁵,p1107,tθ ɑ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1224,6131,ts ɔ̰ t ⁵⁵,p957,ts ɔ̰ t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1225,6217,a ³¹ + tɕʰ o t ⁵³,p1238,a ³¹ - + tɕʰ o t ⁵³,,expert,Hill2017,LingPy:SCA,,1
1226,6217,a ³¹ + tɕʰ o t ⁵³,p957,a ³¹ - + tɕʰ o t ⁵³,,expert,Hill2017,LingPy:SCA,,2
1227,6277,ts a̰ t ⁵⁵,p957,ts a̰ t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1228,6295,a ⁵³ + sʰ o ʔ ⁴,p1238,a ⁵³ - + sʰ o ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
1229,6295,a ⁵³ + sʰ o ʔ ⁴,p957,a ⁵³ - + sʰ o ʔ ⁴,,expert,Hill2017,LingPy:SCA,,2
1230,6376,ts ṵ t ⁵⁵,p957,ts ṵ t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1231,6612,a ³¹ + cʰ u t ⁵⁵,p1238,a ³¹ - + cʰ u t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1232,6612,a ³¹ + cʰ u t ⁵⁵,p957,a ³¹ - + cʰ u t ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1233,7320,a + tsʰ u t,p1238,- - a + tsʰ u t -,,expert,Hill2017,LingPy:SCA,,1
1234,7320,a + tsʰ u t,p957,- - a + tsʰ u t -,,expert,Hill2017,LingPy:SCA,,2
1235,6551,ts ɔ̰ t ⁵⁵,p957,ts ɔ̰ t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1236,2492,j u ʔ ²¹ + k e ⁵¹,p446,j u - ʔ ²¹ + k e - ⁵¹,,expert,Hill2017,LingPy:SCA,,1
1237,2492,j u ʔ ²¹ + k e ⁵¹,p448,j u - ʔ ²¹ + k e - ⁵¹,,expert,Hill2017,LingPy:SCA,,2
1238,2494,j a u ʔ ³¹ + k a i ⁵⁵,p446,j a u ʔ ³¹ + k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1239,2494,j a u ʔ ³¹ + k a i ⁵⁵,p448,j a u ʔ ³¹ + k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1240,2498,j a u k ³¹ + k a i ³¹,p446,j a u k ³¹ + k a i ³¹,,expert,Hill2017,LingPy:SCA,,1
1241,2498,j a u k ³¹ + k a i ³¹,p448,j a u k ³¹ + k a i ³¹,,expert,Hill2017,LingPy:SCA,,2
1242,2489,i ³¹ + tɕ i ⁵⁵,p446,- i - - ³¹ + tɕ i - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1243,2489,i ³¹ + tɕ i ⁵⁵,p448,- i - - ³¹ + tɕ i - ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1244,2497,j u ʔ ⁵⁵ + k ɛ ³¹,p446,j u - ʔ ⁵⁵ + k ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,1
1245,2497,j u ʔ ⁵⁵ + k ɛ ³¹,p448,j u - ʔ ⁵⁵ + k ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,2
1246,2500,j u ʔ ³¹ + ɕ ɛ ⁵⁵,p446,j u - ʔ ³¹ + ɕ ɛ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1247,2500,j u ʔ ³¹ + ɕ ɛ ⁵⁵,p448,j u - ʔ ³¹ + ɕ ɛ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1248,5369,j ɑ u ʔ ⁴ + tɕ ɑ ⁵⁵,p446,j ɑ u ʔ ⁴ + tɕ ɑ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1249,5369,j ɑ u ʔ ⁴ + tɕ ɑ ⁵⁵,p448,j ɑ u ʔ ⁴ + tɕ ɑ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1250,2534,ʂ u a ³¹,p1109,ʂ u a ³¹,,expert,Hill2017,LingPy:SCA,,1
1251,2535,ʃ o ²¹,p1109,ʃ o - ²¹,,expert,Hill2017,LingPy:SCA,,1
1252,2537,ʃ o ⁵⁵,p1109,ʃ o - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1253,2538,ʃ ɔ ³⁵,p1109,ʃ ɔ - ³⁵,,expert,Hill2017,LingPy:SCA,,1
1254,2536,ʃ a ³⁵,p1109,ʃ a - ³⁵,,expert,Hill2017,LingPy:SCA,,1
1255,2539,ʂ ɔ ³¹,p1109,ʂ ɔ - ³¹,,expert,Hill2017,LingPy:SCA,,1
1256,7322,a + s a ⁵⁵,p1108,- - a + s a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1257,7322,a + s a ⁵⁵,p1109,- - a + s a ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1258,5457,ɑ ⁵³ + tθ ɑ ⁵⁵,p1108,ɑ ⁵³ - + tθ ɑ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1259,5457,ɑ ⁵³ + tθ ɑ ⁵⁵,p1109,ɑ ⁵³ - + tθ ɑ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1260,5548,l ɑ ⁵³,p465,l ɑ ⁵³,,expert,Hill2017,LingPy:SCA,,1
1261,2602,pʰ ă ³¹ + l ɔ ʔ ³¹,p467,pʰ ă - ³¹ + l ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
1262,2602,pʰ ă ³¹ + l ɔ ʔ ³¹,p465,pʰ ă - ³¹ + l ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,2
1263,2604,l o̰ ⁵⁵ + m o ⁵⁵,p465,l o̰ - ⁵⁵ + m o ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1264,2604,l o̰ ⁵⁵ + m o ⁵⁵,p466,l o̰ - ⁵⁵ + m o ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1265,2606,l ɛ̰̃ ∼ ³⁵ + m a ³¹,p465,l ɛ̰̃ ∼ ³⁵ + m a ³¹,,expert,Hill2017,LingPy:SCA,,1
1266,2606,l ɛ̰̃ ∼ ³⁵ + m a ³¹,p466,l ɛ̰̃ ∼ ³⁵ + m a ³¹,,expert,Hill2017,LingPy:SCA,,2
1267,2609,l o̰ ⁵³,p465,l o̰ ⁵³,,expert,Hill2017,LingPy:SCA,,1
1268,2610,l ɔ̰ ⁵⁵,p465,l ɔ̰ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1269,2611,p a u ⁵⁵ + l̥ ɔ ³¹,p467,p a u ⁵⁵ + l̥ ɔ - ³¹,,expert,Hill2017,LingPy:SCA,,1
1270,2611,p a u ⁵⁵ + l̥ ɔ ³¹,p465,p a u ⁵⁵ + l̥ ɔ - ³¹,,expert,Hill2017,LingPy:SCA,,2
1271,7324,l a ⁵³,p465,l a ⁵³,,expert,Hill2017,LingPy:SCA,,1
1272,6161,k j ɔ̰̃ ∼ ³¹,p959,k j ɔ̰̃ ∼ ³¹,,expert,Hill2017,LingPy:SCA,,1
1273,6132,k j a̰ ŋ ³³,p959,k j a̰ ŋ ³³,,expert,Hill2017,LingPy:SCA,,1
1274,6247,k j ɔ̰̃ ∼ ⁵⁵,p959,k j ɔ̰̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1275,6338,pʰ ɔ p ⁵⁵,p1017,pʰ ɔ p ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1276,6482,k j a̰ ŋ ⁵¹,p959,k j a̰ ŋ ⁵¹,,expert,Hill2017,LingPy:SCA,,1
1277,6564,c a ŋ ³¹ + kʰ ʐ a ŋ ⁵⁵,p1018,c a ŋ ³¹ + kʰ ʐ a ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1278,6564,c a ŋ ³¹ + kʰ ʐ a ŋ ⁵⁵,p959,c a ŋ ³¹ + kʰ ʐ a ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1279,7326,kʰ r a ŋ,p959,kʰ r a ŋ -,,expert,Hill2017,LingPy:SCA,,1
1280,6296,tɕʰ ĩ ∼ ²²,p959,tɕʰ - ĩ ∼ ²²,,expert,Hill2017,LingPy:SCA,,1
1281,5297,ɑ ⁵³ + m e ²²,p1110,ɑ ⁵³ - + m - e - ²²,,expert,Hill2017,LingPy:SCA,,1
1282,5297,ɑ ⁵³ + m e ²²,p470,ɑ ⁵³ - + m - e - ²²,,expert,Hill2017,LingPy:SCA,,2
1283,2627,m a u ʔ ⁵¹,p470,m a u ʔ ⁵¹,,expert,Hill2017,LingPy:SCA,,1
1284,2630,a ⁵⁵ + n u ²¹,p1110,a ⁵⁵ + n u - ²¹,,expert,Hill2017,LingPy:SCA,,1
1285,2630,a ⁵⁵ + n u ²¹,p472,a ⁵⁵ + n u - ²¹,,expert,Hill2017,LingPy:SCA,,2
1286,2631,a ³¹ + n u ŋ ⁵⁵,p1110,a ³¹ + n u ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1287,2631,a ³¹ + n u ŋ ⁵⁵,p472,a ³¹ + n u ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1288,2634,a ⁵⁵ + m j ḭ ⁵³,p1110,a ⁵⁵ - + m j ḭ - ⁵³,,expert,Hill2017,LingPy:SCA,,1
1289,2634,a ⁵⁵ + m j ḭ ⁵³,p470,a ⁵⁵ - + m j ḭ - ⁵³,,expert,Hill2017,LingPy:SCA,,2
1290,2635,a ⁵⁵ + m j ḭ ⁵⁵,p1110,a ⁵⁵ - + m j ḭ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1291,2635,a ⁵⁵ + m j ḭ ⁵⁵,p470,a ⁵⁵ - + m j ḭ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1292,2637,m ɛ ³¹,p470,m ɛ - - ³¹,,expert,Hill2017,LingPy:SCA,,1
1293,7328,a + m i j,p1110,- - a + m - i j -,,expert,Hill2017,LingPy:SCA,,1
1294,7328,a + m i j,p470,- - a + m - i j -,,expert,Hill2017,LingPy:SCA,,2
1295,5613,t ɑ̃ u ∼ ²²,p474,t ɑ̃ u ∼ ²²,,expert,Hill2017,LingPy:SCA,,1
1296,2641,p u m ⁵⁵,p1111,p u m ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1297,2644,p u m ⁵¹,p1111,p u m ⁵¹,,expert,Hill2017,LingPy:SCA,,1
1298,2646,p a m ⁵⁵,p1111,p a m ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1299,2649,p ɔ m ³¹,p1111,p ɔ m ³¹,,expert,Hill2017,LingPy:SCA,,1
1300,2650,p a m ³¹,p1111,p a m ³¹,,expert,Hill2017,LingPy:SCA,,1
1301,2652,p u m ⁵⁵,p1111,p u m ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1302,7330,t ʊ ŋ,p474,t ʊ - ŋ -,,expert,Hill2017,LingPy:SCA,,1
1303,6185,k ʐ o ʔ ⁵⁵,p74,k ʐ o ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1304,6175,k ʐ o ʔ ⁵⁵,p74,k ʐ o ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1305,6226,ɣ ɔ ʔ ³¹ + n a ʔ ³¹,p74,ɣ - ɔ ʔ ³¹ + n a ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
1306,6226,ɣ ɔ ʔ ³¹ + n a ʔ ³¹,p92,ɣ - ɔ ʔ ³¹ + n a ʔ ³¹,,expert,Hill2017,LingPy:SCA,,2
1307,6407,tɕ w ɛ ʔ ⁴,p74,tɕ w ɛ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
1308,6461,ŋ ĕ ²¹ + n o ʔ ²¹,p1296,ŋ ĕ ²¹ + n o ʔ ²¹,,expert,Hill2017,LingPy:SCA,,1
1309,6461,ŋ ĕ ²¹ + n o ʔ ²¹,p92,ŋ ĕ ²¹ + n o ʔ ²¹,,expert,Hill2017,LingPy:SCA,,2
1310,6566,ɣ u k ³¹ + n ɔ ʔ ³¹,p74,ɣ - u k ³¹ + n ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
1311,6566,ɣ u k ³¹ + n ɔ ʔ ³¹,p92,ɣ - u k ³¹ + n ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,2
1312,6647,k j ĭ ²¹ + n ɔ ʔ ³¹,p74,k j ĭ - ²¹ + n ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,1
1313,6647,k j ĭ ²¹ + n ɔ ʔ ³¹,p92,k j ĭ - ²¹ + n ɔ ʔ ³¹,,expert,Hill2017,LingPy:SCA,,2
1314,7332,k r o k,p74,k r o k -,,expert,Hill2017,LingPy:SCA,,1
1315,5298,p ɑ ⁵⁵ + s ɑ ʔ ⁴,p1113,p ɑ ⁵⁵ + s ɑ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,1
1316,5298,p ɑ ⁵⁵ + s ɑ ʔ ⁴,p481,p ɑ ⁵⁵ + s ɑ ʔ ⁴,,expert,Hill2017,LingPy:SCA,,2
1317,2662,n̥ʲ o t ⁵³,p1112,n̥ʲ o t ⁵³,,expert,Hill2017,LingPy:SCA,,1
1318,2667,n ɔ̰ t ⁵⁵,p1112,n ɔ̰ t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1319,2671,n a̰ t ⁵⁵,p1112,n a̰ t ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1320,7334,p a ⁵⁵ + ts a p,p1113,p a ⁵⁵ + ts a p -,,expert,Hill2017,LingPy:SCA,,1
1321,7334,p a ⁵⁵ + ts a p,p481,p a ⁵⁵ + ts a p -,,expert,Hill2017,LingPy:SCA,,2
1322,7336,n̥ u t,p1112,n̥ u t -,,expert,Hill2017,LingPy:SCA,,1
1323,6225,m j i k ³¹ + ts a̰ i ³⁵,p690,m j i k ³¹ + ts a̰ i ³⁵,,expert,Hill2017,LingPy:SCA,,1
1324,6225,m j i k ³¹ + ts a̰ i ³⁵,p691,m j i k ³¹ + ts a̰ i ³⁵,,expert,Hill2017,LingPy:SCA,,2
1325,6244,k ə̰ ⁵⁵ + n a̰ ²¹,p1326,k ə̰ ⁵⁵ + n a̰ ²¹,,expert,Hill2017,LingPy:SCA,,1
1326,6244,k ə̰ ⁵⁵ + n a̰ ²¹,p1327,k ə̰ ⁵⁵ + n a̰ ²¹,,expert,Hill2017,LingPy:SCA,,2
1327,6246,ɕ ũ ∼ ⁵³,p119,ɕ ũ ∼ ⁵³,,expert,Hill2017,LingPy:SCA,,1
1328,6293,tʰ ɔ m ⁵⁵ + p ɔ p ³¹,p119,tʰ ɔ m ⁵⁵ + p ɔ p ³¹,,expert,Hill2017,LingPy:SCA,,1
1329,6293,tʰ ɔ m ⁵⁵ + p ɔ p ³¹,p1328,tʰ ɔ m ⁵⁵ + p ɔ p ³¹,,expert,Hill2017,LingPy:SCA,,2
1330,6424,n̥ʲ o n ⁵⁵ + p e n ³¹,p118,n̥ʲ o n ⁵⁵ + p e n ³¹,,expert,Hill2017,LingPy:SCA,,1
1331,6424,n̥ʲ o n ⁵⁵ + p e n ³¹,p1329,n̥ʲ o n ⁵⁵ + p e n ³¹,,expert,Hill2017,LingPy:SCA,,2
1332,6557,ɲ̇ o n ⁵⁵,p118,ɲ̇ o n ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1333,6615,ts ə̆ ⁵⁵ + ŋ j a̰ ʔ ⁵⁵,p691,ts ə̆ ⁵⁵ + ŋ j a̰ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1334,6615,ts ə̆ ⁵⁵ + ŋ j a̰ ʔ ⁵⁵,p1330,ts ə̆ ⁵⁵ + ŋ j a̰ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1335,5318,l ɛ ʔ ⁴ + tθ ɛ ⁵⁵,p143,l ɛ ʔ ⁴ - - - + tθ ɛ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1336,5318,l ɛ ʔ ⁴ + tθ ɛ ⁵⁵,p1114,l ɛ ʔ ⁴ - - - + tθ ɛ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1337,2692,l ɔ ʔ ⁵⁵ + ʂ ə ŋ ³¹,p143,l ɔ ʔ ⁵⁵ - - - + ʂ ə ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
1338,2692,l ɔ ʔ ⁵⁵ + ʂ ə ŋ ³¹,p1114,l ɔ ʔ ⁵⁵ - - - + ʂ ə ŋ ³¹,,expert,Hill2017,LingPy:SCA,,2
1339,2694,l o ʔ ²¹ + s i ŋ ²¹,p143,l o ʔ ²¹ - - - + s i ŋ ²¹,,expert,Hill2017,LingPy:SCA,,1
1340,2694,l o ʔ ²¹ + s i ŋ ²¹,p1114,l o ʔ ²¹ - - - + s i ŋ ²¹,,expert,Hill2017,LingPy:SCA,,2
1341,2696,l a ʔ ³¹ + s a ŋ ³⁵,p143,l a ʔ ³¹ - - - + s a ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,1
1342,2696,l a ʔ ³¹ + s a ŋ ³⁵,p1114,l a ʔ ³¹ - - - + s a ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,2
1343,2697,l ɔ ʔ ³¹ + s ə̰ ŋ ⁵⁵,p143,l ɔ ʔ ³¹ - - - + s ə̰ ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1344,2697,l ɔ ʔ ³¹ + s ə̰ ŋ ⁵⁵,p1114,l ɔ ʔ ³¹ - - - + s ə̰ ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1345,2699,l ɔ ʔ ³¹ + s a ŋ ³⁵,p143,l ɔ ʔ ³¹ - - - + s a ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,1
1346,2699,l ɔ ʔ ³¹ + s a ŋ ³⁵,p1114,l ɔ ʔ ³¹ - - - + s a ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,2
1347,2701,l ɔ ʔ ⁵⁵ + ʂ ɯ ŋ ³¹,p143,l ɔ ʔ ⁵⁵ - - - + ʂ ɯ ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
1348,2701,l ɔ ʔ ⁵⁵ + ʂ ɯ ŋ ³¹,p1114,l ɔ ʔ ⁵⁵ - - - + ʂ ɯ ŋ ³¹,,expert,Hill2017,LingPy:SCA,,2
1349,7339,l a k + s a nʲ ⁵⁵,p143,- - - - l a k + s a nʲ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1350,7339,l a k + s a nʲ ⁵⁵,p1114,- - - - l a k + s a nʲ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1351,5530,n ɑ ²² + m ɛ ²²,p1115,n ɑ ²² + m ɛ ²²,,expert,Hill2017,LingPy:SCA,,1
1352,5530,n ɑ ²² + m ɛ ²²,p486,n ɑ ²² + m ɛ ²²,,expert,Hill2017,LingPy:SCA,,2
1353,2716,a ³¹ + nʲ i ŋ ⁵⁵,p1116,a ³¹ - + nʲ i ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1354,2716,a ³¹ + nʲ i ŋ ⁵⁵,p486,a ³¹ - + nʲ i ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1355,2718,m j i ŋ ⁵¹,p486,m j i ŋ ⁵¹,,expert,Hill2017,LingPy:SCA,,1
1356,2719,m a ŋ ⁵⁵,p486,m - a ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1357,2722,m j i ŋ ³¹,p486,m j i ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
1358,2723,m a ŋ ³¹,p486,m - a ŋ ³¹,,expert,Hill2017,LingPy:SCA,,1
1359,2724,a ³¹ + n i ŋ ⁵⁵,p1116,a ³¹ - + n i ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1
1360,2724,a ³¹ + n i ŋ ⁵⁵,p486,a ³¹ - + n i ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,2
1361,5529,n ɑ ²² + m i ²²,p1115,n ɑ ²² + m i ²²,,expert,Hill2017,LingPy:SCA,,1
1362,5529,n ɑ ²² + m i ²²,p486,n ɑ ²² + m i ²²,,expert,Hill2017,LingPy:SCA,,2
1363,7341,a + m a nʲ,p1116,- - a + m a nʲ -,,expert,Hill2017,LingPy:SCA,,1
