ID,Language_ID,Language_name,Parameter_ID,Value,Source,Comment
1A-tlp,acat1239,Tlapanec,1A,Average,Suarez-1983a,
1A-tli,tlin1245,Tlingit,1A,Large,Maddieson-et-al-2001,
1A-toa,toar1246,Toaripi,1A,Small,Brown-1973,
1A-tol,toll1241,Tol,1A,Average,Holt-1999a;Fleming-and-Dennis-1977,
1A-ton,tonk1249,Tonkawa,1A,Moderately small,Hoijer-1946b;Hoijer-1972;Hoijer-1949,
1A-dts,toro1252,Toro So,1A,Moderately small,Plungian-1995;Bendor-Samuel-et-al-1989,
1A-tpa,papa1238,Totonac (Papantla),1A,Moderately small,Aschmann-1946,
1A-tru,trum1247,Trumai,1A,Average,Guirardello-1992;Monod-Becquelin-1975;Guirardello-1999b,
1A-tsi,nucl1649,Tsimshian (Coast),1A,Large,Dunn-1970;Dunn-1979;Hoard-1978;Mulder-1988;Dunn-1995,
1A-tso,tsou1248,Tsou,1A,Moderately small,Wright-and-Ladefoged-1994;Tung-1964,
1A-ttu,bats1242,Tsova-Tush,1A,Large,Desheriev-1953,
1A-tug,taha1241,Tuareg (Ahaggar),1A,Average,Louali-Reynal-et-al-1997;Prasse-1972,
1A-tuk,tuka1247,Tukang Besi,1A,Average,Donohue-1999c;Donohue-1999a,
1A-tul,tulu1258,Tulu,1A,Average,Bhat-1967,
1A-tun,tuni1252,Tunica,1A,Moderately small,Haas-1940,
1A-tur,nucl1301,Turkish,1A,Average,Zimmer-and-Orgun-1999,
1A-tuv,tuvi1240,Tuvan,1A,Average,Anderson-and-Harrison-1999;Seglenmej-1979;Sat-1966;Song-1982,
1A-tza,tzel1254,Tzeltal (Aguacatenango),1A,Average,Kaufman-1971,
1A-umb,umbu1257,UMbundu,1A,Average,Schadeberg-1982;Schadeberg-1990,
1A-una,unaa1239,Una,1A,Average,Louwerse-1988,
1A-ung,ngar1284,Ungarinjin,1A,Moderately small,Rumsey-1982;Coate-and-Oates-1970;Coate-and-Elkin-1974,
1A-urk,urub1250,Urubú-Kaapor,1A,Moderately small,Kakumasu-1986,
1A-usa,usan1239,Usan,1A,Small,Reesink-1987,
1A-uzn,nort2690,Uzbek (Northern),1A,Average,Sjoberg-1963;Sjoberg-1962,
1A-vie,viet1252,Vietnamese,1A,Average,Thompson-1965;Nguyen-1974a;Nguyen-1990;Emeneau-1951,
1A-wah,wahg1249,Wahgi,1A,Moderately small,Phillips-1976;Ladefoged-et-al-1977,
1A-bno,waim1255,Waimaha,1A,Small,Stolte-and-Stolte-1971,
1A-wam,wamb1258,Wambaya,1A,Moderately small,Nordlinger-1998,
1A-wnt,want1252,Wantoat,1A,Moderately small,Davis-1969,
1A-wps,wapi1253,Wapishana,1A,Moderately small,Tracy-1972,
1A-wap,wapp1239,Wappo,1A,Moderately large,Sawyer-1965,
1A-wra,wara1303,Warao,1A,Small,Vaquero-1965;de-Goeje-1930;Romero-Figueroa-1997;Osborn-1966,
1A-wry,wara1290,Waray (in Australia),1A,Moderately small,Harvey-1986,
1A-wrd,ward1246,Wardaman,1A,Moderately small,Merlan-1994,
1A-war,wari1268,Wari',1A,Moderately small,Everett-and-Kern-1997;MacEachern-et-al-1997,
1A-wrs,wari1266,Waris,1A,Small,Brown-1988b,
1A-wdo,pitj1243,Western Desert (Ooldea),1A,Moderately small,Douglas-1964;Douglas-1955,
1A-wma,west2600,West Makian,1A,Moderately small,Voorhoeve-1982;Watuseke-1976,
1A-wch,wich1264,Wichí,1A,Average,Vinas-Urquiza-1974;Tovar-1981;Hunt-1940,
1A-wic,wich1260,Wichita,1A,Average,Rood-1976,
1A-wmu,wikm1247,Wik Munkan,1A,Small,McConnel-1945;Sayers-and-Godfrey-1964,
1A-win,wint1259,Wintu,1A,Moderately large,Schlichter-1981;Pitkin-1984,
1A-wiy,wiyo1248,Wiyot,1A,Average,Teeter-1964,
1A-woi,kama1365,Woisika,1A,Moderately small,Stokhof-1979,
1A-wlf,nucl1347,Wolof,1A,Moderately large,Ka-1994;Manessy-and-Sauvageot-1963;Ward-1963;Sauvageot-1965,
1A-wuc,wuch1236,Wu (Changzhou),1A,Average,Chao-1970,
1A-xia,minn1241,Xiamen,1A,Average,Ramsey-1987;Norman-1988;Hanyu-1960,
1A-xoo,xooo1239,!Xóõ,1A,Large,Traill-1985;Traill-1994,
1A-ygr,yaga1260,Yagaria,1A,Small,Renck-1967;Renck-1975;Haiman-1980,
1A-yag,yagu1244,Yagua,1A,Small,Payne-1985,
1A-ykt,yaku1245,Yakut,1A,Average,Krueger-1962;Ubrjatova-1966;Bohtlingk-1964,
1A-yan,yana1271,Yana,1A,Average,Sapir-and-Swadesh-1960,
1A-amu,yane1238,Yanesha',1A,Average,Wise-1958;Fast-1953,
1A-yny,yany1243,Yanyuwa,1A,Moderately large,Kirton-1967;Huttar-and-Kirton-1981;Kirton-and-Charlie-1978,
