ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
934,934,1212,,,
1148,1148,225,,,
1386,1386,1388,,,
1579,1579,395,,,
1835,1835,1462,,,
1836,1836,1319,,,
2099,2099,562,,,
2318,2318,1319,,,
2540,2540,609,,,
2798,2798,1388,,,
2799,2799,1212,,,
3061,3061,119,,,
3280,3280,1319,,,
3281,3281,1212,,,
3572,3572,1319,,,
3573,3573,1212,,,
3874,3874,1212,,,
4182,4182,1212,,,
4183,4183,759,,,
4184,4184,1388,,,
4378,4378,759,,,
4578,4578,1388,,,
4838,4838,1319,,,
5084,5084,975,,,
5085,5085,1212,,,
5343,5343,1388,,,
5597,5597,759,,,
5598,5598,1029,,,
5832,5832,1388,,,
6134,6134,1319,,,
6135,6135,1388,,,
6345,6345,1319,,,
6604,6604,119,,,
6898,6898,119,,,
7161,7161,1212,,,
7413,7413,119,,,
7414,7414,1212,,,
7644,7644,1212,,,
133,133,1213,,,
382,382,1213,,,
848,848,1213,,,
1054,1054,171,,,
1292,1292,1213,,,
1503,1503,1213,,,
1728,1728,437,,,
1729,1729,1213,,,
1988,1988,1213,,,
2225,2225,579,,,
2449,2449,1213,,,
2677,2677,1213,,,
